artista,eventos,dia,mes,año,precios,enlaces
Cariño,1 Evento,13,1,2024,"desde 19,80 €",https://www.entradas.com/artist/carino/carino-3503691/
Iván Ferreiro,1 Evento,13,1,2024,"desde 38,50 €",https://www.entradas.com/artist/ivan-ferreiro/
The World Of Hans Zimmer,2 eventos,24,4,2024,"desde 55,00 €",https://www.entradas.com/artist/hans-zimmer/
The World Of Hans Zimmer,2 eventos,29,4,2024,"desde 55,00 €",https://www.entradas.com/artist/hans-zimmer/
Triángulo de Amor Bizarro,1 Evento,29,12,2023,"desde 19,80 €",https://www.entradas.com/artist/triangulo-de-amor-bizarro/
Nico B,1 Evento,14,1,2024,"desde 13,50 €",https://www.entradas.com/artist/nico-b/
Cala Vento,1 Evento,1,12,2023,"desde 19,80 €",https://www.entradas.com/artist/cala-vento/
Sidonie,2 eventos,12,1,2024,"desde 27,50 €",https://www.entradas.com/artist/sidonie/sidonie-1739136/
Sidonie,2 eventos,14,1,2024,"desde 27,50 €",https://www.entradas.com/artist/sidonie/sidonie-1739136/
Belako - Sigo regando,1 Evento,20,1,2024,"desde 17,60 €",https://www.entradas.com/artist/belako/
Biznaga,1 Evento,26,1,2024,"desde 18,70 €",https://www.entradas.com/artist/biznaga/
Morreo - Alegría Club!,1 Evento,18,1,2024,"desde 14,50 €",https://www.entradas.com/artist/morreo/
Diego el Cigala - Obras Maestras,2 eventos,11,12,2023,"desde 55,00 €",https://www.entradas.com/artist/diego-el-cigala/
Diego el Cigala - Obras Maestras,2 eventos,18,12,2023,"desde 55,00 €",https://www.entradas.com/artist/diego-el-cigala/
Symphonic Rhapsody of Queen,1 Evento,16,1,2024,"desde 35,00 €",https://www.entradas.com/artist/symphonic-rhapsody-of-queen/symphonic-rhapsody-of-queen-3295553/
Sexy Zebras,1 Evento,1,2,2024,"desde 18,00 €",https://www.entradas.com/artist/sexy-zebras/sexy-zebras-3277511/
"Biografía - Rafa Sánchez, de la unión",1 Evento,11,12,2023,"desde 35,00 €",https://www.entradas.com/artist/rafa-sanchez/
OBK,3 eventos,13,1,2024,"desde 30,00 €",https://www.entradas.com/artist/obk/
OBK,3 eventos,27,1,2024,"desde 30,00 €",https://www.entradas.com/artist/obk/
El Consorcio - Toda una vida,2 eventos,27,11,2023,"desde 29,00 €",https://www.entradas.com/artist/el-consorcio/el-consorcio-toda-una-vida-3165443/
El Consorcio - Toda una vida,2 eventos,28,11,2023,"desde 29,00 €",https://www.entradas.com/artist/el-consorcio/el-consorcio-toda-una-vida-3165443/
Rock en Familia - Hijos del Rock and Roll,2 eventos,5,11,2023,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-hijos-del-rock-and-roll-3272770/
Rock en Familia - Hijos del Rock and Roll,2 eventos,10,3,2024,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-hijos-del-rock-and-roll-3272770/
Rock en Familia - I Love Rock and Roll,1 Evento,3,12,2023,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-i-love-rock-and-roll-3221042/
Rock en Familia - Queenmanía,2 eventos,17,12,2023,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-queenmania-3294746/
Rock en Familia - Queenmanía,2 eventos,14,4,2024,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-queenmania-3294746/
Rock en Familia - I Love Heavy Metal,2 eventos,19,11,2023,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-i-love-heavy-metal-3449495/
Rock en Familia - I Love Heavy Metal,2 eventos,24,3,2024,"desde 7,50 €",https://www.entradas.com/artist/rock-en-familia/rock-en-familia-i-love-heavy-metal-3449495/
Morgan,1 Evento,19,1,2024,"desde 29,70 €",https://www.entradas.com/artist/morgan/
Los Zigarros,2 eventos,11,1,2024,"desde 30,80 €",https://www.entradas.com/artist/los-zigarros/
Los Zigarros,2 eventos,12,1,2024,"desde 30,80 €",https://www.entradas.com/artist/los-zigarros/
Queralt Lahoz,2 eventos,1,12,2023,"desde 23,00 €",https://www.entradas.com/artist/queralt-lahoz/
Queralt Lahoz,2 eventos,2,12,2023,"desde 23,00 €",https://www.entradas.com/artist/queralt-lahoz/
Noa,1 Evento,19,3,2024,"desde 30,00 €",https://www.entradas.com/artist/noa/
Mocedades - Avanzando hacia el futuro,1 Evento,8,1,2024,"desde 30,00 €",https://www.entradas.com/artist/mocedades/mocedades-avanzando-hacia-el-futuro-3411037/
John Grant,1 Evento,17,11,2023,"desde 20,00 €",https://www.entradas.com/artist/john-grant/
Callas en concierto - En holograma,2 eventos,11,11,2023,"desde 18,00 €",https://www.entradas.com/artist/maria-callas/
Callas en concierto - En holograma,2 eventos,9,12,2023,"desde 18,00 €",https://www.entradas.com/artist/maria-callas/
Zenet,1 Evento,26,11,2023,"desde 18,00 €",https://www.entradas.com/artist/zenet/
Laura Pausini,1 Evento,27,1,2024,"desde 30,00 €",https://www.entradas.com/artist/laura-pausini/
Concierto Sinfónico de Abono B18 (Jueves),1 Evento,18,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b18-jueves-3479312/
Concierto Sinfónico de Abono B18 (Viernes),1 Evento,19,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b18-viernes-3479313/
Concierto Sinfónico de Abono B16 (Viernes),1 Evento,22,3,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b16-viernes-3479309/
