comunidad,residencia,viajeros,pernoctaciones,año,mes,total
Madrid,Residentes en el Extranjero,Si,,2023,9,583.605
Madrid,Residentes en el Extranjero,Si,,2023,8,539.019
Madrid,Residentes en el Extranjero,Si,,2023,7,571.252
Madrid,Residentes en el Extranjero,Si,,2023,6,546.259
Madrid,Residentes en el Extranjero,Si,,2023,5,553.960
Madrid,Residentes en el Extranjero,Si,,2023,4,516.255
Madrid,Residentes en el Extranjero,Si,,2023,3,477.214
Madrid,Residentes en el Extranjero,Si,,2023,2,360.262
Madrid,Residentes en el Extranjero,Si,,2023,1,353.189
Madrid,Residentes en el Extranjero,Si,,2022,12,347.670
Madrid,Residentes en el Extranjero,Si,,2022,11,410.424
Madrid,Residentes en el Extranjero,Si,,2022,10,521.538
Madrid,Residentes en el Extranjero,Si,,2022,9,498.605
Madrid,Residentes en el Extranjero,Si,,2022,8,406.755
Madrid,Residentes en el Extranjero,Si,,2022,7,480.915
Madrid,Residentes en el Extranjero,Si,,2022,6,461.468
Madrid,Residentes en el Extranjero,Si,,2022,5,460.034
Madrid,Residentes en el Extranjero,Si,,2022,4,396.769
Madrid,Residentes en el Extranjero,Si,,2022,3,323.693
Madrid,Residentes en el Extranjero,Si,,2022,2,236.771
Madrid,Residentes en el Extranjero,Si,,2022,1,182.870
Madrid,Residentes en el Extranjero,Si,,2021,12,241.894
Madrid,Residentes en el Extranjero,Si,,2021,11,294.284
Madrid,Residentes en el Extranjero,Si,,2021,10,321.023
Madrid,Residentes en el Extranjero,Si,,2021,9,256.777
Madrid,Residentes en el Extranjero,Si,,2021,8,193.907
Madrid,Residentes en el Extranjero,Si,,2021,7,179.424
Madrid,Residentes en el Extranjero,Si,,2021,6,119.886
Madrid,Residentes en el Extranjero,Si,,2021,5,97.076
Madrid,Residentes en el Extranjero,Si,,2021,4,61.516
Madrid,Residentes en el Extranjero,Si,,2021,3,61.297
Madrid,Residentes en el Extranjero,Si,,2021,2,43.405
Madrid,Residentes en el Extranjero,Si,,2021,1,46.649
Madrid,Residentes en el Extranjero,Si,,2020,12,46.570
Madrid,Residentes en el Extranjero,Si,,2020,11,38.193
Madrid,Residentes en el Extranjero,Si,,2020,10,36.739
Madrid,Residentes en el Extranjero,Si,,2020,9,46.085
Madrid,Residentes en el Extranjero,,Si,2023,9,1.312.432
Madrid,Residentes en el Extranjero,,Si,2023,8,1.164.011
Madrid,Residentes en el Extranjero,,Si,2023,7,1.254.466
Madrid,Residentes en el Extranjero,,Si,2023,6,1.237.891
Madrid,Residentes en el Extranjero,,Si,2023,5,1.285.992
Madrid,Residentes en el Extranjero,,Si,2023,4,1.223.382
Madrid,Residentes en el Extranjero,,Si,2023,3,1.081.032
Madrid,Residentes en el Extranjero,,Si,2023,2,816.691
Madrid,Residentes en el Extranjero,,Si,2023,1,811.230
Madrid,Residentes en el Extranjero,,Si,2022,12,792.069
Madrid,Residentes en el Extranjero,,Si,2022,11,940.766
Madrid,Residentes en el Extranjero,,Si,2022,10,1.229.379
Madrid,Residentes en el Extranjero,,Si,2022,9,1.133.828
Madrid,Residentes en el Extranjero,,Si,2022,8,915.087
Madrid,Residentes en el Extranjero,,Si,2022,7,1.091.837
Madrid,Residentes en el Extranjero,,Si,2022,6,1.088.657
Madrid,Residentes en el Extranjero,,Si,2022,5,1.110.766
Madrid,Residentes en el Extranjero,,Si,2022,4,1.023.461
Madrid,Residentes en el Extranjero,,Si,2022,3,815.168
Madrid,Residentes en el Extranjero,,Si,2022,2,588.508
Madrid,Residentes en el Extranjero,,Si,2022,1,493.728
Madrid,Residentes en el Extranjero,,Si,2021,12,613.570
Madrid,Residentes en el Extranjero,,Si,2021,11,727.600
Madrid,Residentes en el Extranjero,,Si,2021,10,815.634
Madrid,Residentes en el Extranjero,,Si,2021,9,636.852
Madrid,Residentes en el Extranjero,,Si,2021,8,472.889
Madrid,Residentes en el Extranjero,,Si,2021,7,449.637
Madrid,Residentes en el Extranjero,,Si,2021,6,299.923
Madrid,Residentes en el Extranjero,,Si,2021,5,248.760
Madrid,Residentes en el Extranjero,,Si,2021,4,156.690
Madrid,Residentes en el Extranjero,,Si,2021,3,172.986
Madrid,Residentes en el Extranjero,,Si,2021,2,122.274
Madrid,Residentes en el Extranjero,,Si,2021,1,109.984
Madrid,Residentes en el Extranjero,,Si,2020,12,113.179
Madrid,Residentes en el Extranjero,,Si,2020,11,102.407
Madrid,Residentes en el Extranjero,,Si,2020,10,110.247
Madrid,Residentes en el Extranjero,,Si,2020,9,128.843
