estilo,artista,eventos,dia,mes,aÃ±o,trimestre,precios,enlaces
alternativa,TriÃ¡ngulo de Amor Bizarro,1 Evento,29,12,2023,4,19.8,https://www.entradas.com/artist/triangulo-de-amor-bizarro/
alternativa,Cala Vento,1 Evento,1,12,2023,4,19.8,https://www.entradas.com/artist/cala-vento/
alternativa,Joe CrepÃºsculo,1 Evento,27,1,2024,1,15.0,https://www.entradas.com/artist/joe-crepusculo/
alternativa,Alice Wonder,1 Evento,17,11,2023,4,27.0,https://www.entradas.com/artist/alice-wonder/
alternativa,Momentos Alhambra: Rikas,1 Evento,14,12,2023,4,15.0,https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-rikas-3432438/
electronica,OBK,3 eventos,13,1,2024,1,30.0,https://www.entradas.com/artist/obk/
electronica,OBK,3 eventos,27,1,2024,1,30.0,https://www.entradas.com/artist/obk/
electronica,Stee Downes/ Kyodai/ Ralph Session,1 Evento,17,11,2023,4,15.0,https://www.entradas.com/artist/clubbing/stee-downes-kyodai-ralph-session-3525520/
electronica,Discotizer Presenta - Cody Currie + Javi Frias,1 Evento,18,11,2023,4,15.0,https://www.entradas.com/artist/clubbing/discotizer-presenta-cody-currie-javi-frias-3518486/
electronica,Alain Perez & La Orquestra,1 Evento,23,12,2023,4,22.0,https://www.entradas.com/artist/alain-perez-la-orquestra/
electronica,MOOG,50 eventos,12,11,2023,4,10.0,https://www.entradas.com/artist/moog/
electronica,MOOG,50 eventos,31,12,2023,4,10.0,https://www.entradas.com/artist/moog/
electronica,Parov Stelar - Theater Tour,2 eventos,25,4,2024,2,40.0,https://www.entradas.com/artist/parov-stelar/
electronica,Parov Stelar - Theater Tour,2 eventos,26,4,2024,2,40.0,https://www.entradas.com/artist/parov-stelar/
festivales,IvÃ¡n Ferreiro,1 Evento,13,1,2024,1,38.5,https://www.entradas.com/artist/ivan-ferreiro/ivan-ferreiro-3411430/
festivales,Warm Up Festival 2024,1 Evento,3,5,2024,2,62.99,https://www.entradas.com/artist/warmupfestival/
festivales,Warm Up Festival 2024,1 Evento,4,5,2024,2,62.99,https://www.entradas.com/artist/warmupfestival/
festivales,Spring Festival 2024,2 eventos,31,5,2024,2,41.99,https://www.entradas.com/artist/springfestival/
festivales,Spring Festival 2024,2 eventos,1,6,2024,2,41.99,https://www.entradas.com/artist/springfestival/
festivales,Low Festival 2024,1 Evento,26,7,2024,3,59.99,https://www.entradas.com/artist/low-festival/
festivales,Low Festival 2024,1 Evento,28,7,2024,3,59.99,https://www.entradas.com/artist/low-festival/
festivales,Sex Museum,1 Evento,6,1,2024,1,22.0,https://www.entradas.com/artist/sex-museum/
festivales,Gran Canaria SUM Festival 2024,3 eventos,4,10,2024,4,35.0,https://www.entradas.com/artist/gran-canaria-sum-festival/
festivales,Gran Canaria SUM Festival 2024,3 eventos,5,10,2024,4,35.0,https://www.entradas.com/artist/gran-canaria-sum-festival/
festivales,GRANCA Live Fest 2024,1 Evento,5,7,2024,3,89.0,https://www.entradas.com/artist/grancalivefestival/
festivales,GRANCA Live Fest 2024,1 Evento,6,7,2024,3,89.0,https://www.entradas.com/artist/grancalivefestival/
festivales,Actual Festival 2024,1 Evento,3,1,2024,1,45.0,https://www.entradas.com/artist/festival-actual/
festivales,Actual Festival 2024,1 Evento,4,1,2024,1,45.0,https://www.entradas.com/artist/festival-actual/
festivales,Ebroclub 2024,1 Evento,12,4,2024,2,35.0,https://www.entradas.com/artist/ebroclub/
festivales,Ebroclub 2024,1 Evento,13,4,2024,2,35.0,https://www.entradas.com/artist/ebroclub/
jazz,55 Festival de Jazz de Barcelona,37 eventos,13,11,2023,4,15.9,https://www.entradas.com/artist/voll-dammfestivaldejazzdebarcelona/
jazz,55 Festival de Jazz de Barcelona,37 eventos,30,12,2023,4,15.9,https://www.entradas.com/artist/voll-dammfestivaldejazzdebarcelona/
jazz,Queralt Lahoz,2 eventos,1,12,2023,4,23.0,https://www.entradas.com/artist/queralt-lahoz/
jazz,Queralt Lahoz,2 eventos,2,12,2023,4,23.0,https://www.entradas.com/artist/queralt-lahoz/
jazz,John Grant,1 Evento,17,11,2023,4,20.0,https://www.entradas.com/artist/john-grant/
jazz,Antonio Lizana,1 Evento,30,11,2023,4,15.0,https://www.entradas.com/artist/villanos-del-jazz/antonio-lizana-2840178/
jazz,Mark Guiliana,1 Evento,20,11,2023,4,23.0,https://www.entradas.com/artist/mark-guiliana/
jazz,Billy Cobham Spectrum 50 Project,2 eventos,17,11,2023,4,29.0,https://www.entradas.com/artist/villanos-del-jazz/billy-cobham-spectrum-50-project-3441649/
jazz,Shai Maestro,1 Evento,12,11,2023,4,21.0,https://www.entradas.com/artist/villanos-del-jazz/shai-maestro-3441647/
jazz,Scary Pockets,1 Evento,9,2,2024,1,28.0,https://www.entradas.com/artist/villanos-del-jazz/scary-pockets-3490507/
jazz,Calibro 35,1 Evento,24,11,2023,4,21.0,https://www.entradas.com/artist/villanos-del-jazz/calibro-35-3495748/
jazz,Matthew Halsall,1 Evento,19,11,2023,4,20.0,https://www.entradas.com/artist/villanos-del-jazz/matthew-halsall-3441508/
jazz,Fatoumata Diawara,1 Evento,21,11,2023,4,25.0,https://www.entradas.com/artist/villanos-del-jazz/fatoumata-diawara-3441856/
jazz,Kassa Overall,1 Evento,25,11,2023,4,21.0,https://www.entradas.com/artist/villanos-del-jazz/kassa-overall-3441668/
jazz,Martirio & Chano DomÃ­nguez,1 Evento,14,11,2023,4,24.0,https://www.entradas.com/artist/villanos-del-jazz/martirio-chano-dominguez-3441440/
jazz,MoisÃ©s P. SÃ¡nchez,1 Evento,18,11,2023,4,20.0,https://www.entradas.com/artist/villanos-del-jazz/moises-p-sanchez-3441501/
jazz,IvÃ¡n 'Melon' Lewis & Ariel BrÃ­nguez,2 eventos,16,12,2023,4,22.0,https://www.entradas.com/artist/ivan-melon-lewis-trio/
jazz,Aranlight Soul & Gospel - Jazz & the City,1 Evento,15,12,2023,4,15.0,https://www.entradas.com/artist/aranlight/
jazz,The Bamboos,1 Evento,16,11,2023,4,20.0,https://www.entradas.com/artist/the-bamboos/
jazz,Fila 8: ClÃ¡sicos del Cine Moderno - Jazz & the City,1 Evento,18,11,2023,4,15.0,https://www.entradas.com/artist/fila-8-clasicos-del-cine-moderno/
jazz,Momentos Alhambra: Mammal Hands,1 Evento,18,11,2023,4,27.0,https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-mammal-hands-3432432/
jazz,Rai Paz Quartet,2 eventos,15,12,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/rai-paz-quartet-3521819/
jazz,Yuhan Su Quartet - Liberated Gesture,2 eventos,24,11,2023,4,18.0,https://www.entradas.com/artist/jamboree-jazz/yuhan-su-quartet-liberated-gesture-3503575/
jazz,Jemba Groove,1 Evento,16,3,2024,1,18.0,https://www.entradas.com/artist/jemba-groove/
jazz,JpBalcazar Quartet feat. Albert Bover,2 eventos,19,12,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/jpbalcazar-quartet-feat-albert-bover-3519313/
jazz,Rai Paz Quartet,2 eventos,15,12,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/rai-paz-quartet-3521819/
jazz,Tornado Alley Jazz - De la noche una canciÃ³n,1 Evento,24,11,2023,4,10.0,https://www.entradas.com/artist/tornado-alley-jazz/
jazz,Jordi Berni Trio,2 eventos,1,12,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/jordi-berni-trio-3527092/
jazz,GAUR&NOALUR,1 Evento,19,11,2023,4,4.25,https://www.entradas.com/artist/gaur-noalur/
jazz,Trovadores del Jazz,8 eventos,16,11,2023,4,12.8,https://www.entradas.com/artist/trovadores-del-jazz/
jazz,Trovadores del Jazz,8 eventos,27,12,2023,4,12.8,https://www.entradas.com/artist/trovadores-del-jazz/
jazz,The Poyo Moya Trio feat Pat O'Brien,2 eventos,26,11,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/the-poyo-moya-trio-feat-pat-obrien-1560584/
jazz,Jamboree Jam,9 eventos,13,11,2023,4,12.0,https://www.entradas.com/artist/jamboree-jam/
jazz,Jamboree Jam,9 eventos,29,1,2024,1,12.0,https://www.entradas.com/artist/jamboree-jam/
jazz,Invisible Tattoo,1 Evento,29,11,2023,4,18.0,https://www.entradas.com/artist/invisible-tatoo/
jazz,Marc Demuth & Irene Reig Quartet,2 eventos,21,11,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/marc-demuth-irene-reig-quartet-3504113/
jazz,Marc Demuth & Irene Reig Quartet,2 eventos,22,11,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/marc-demuth-irene-reig-quartet-3504113/
jazz,Jocelyn Gould Quartet,2 eventos,17,11,2023,4,25.0,https://www.entradas.com/artist/jamboree-jazz/jocelyn-gould-quartet-3504112/
jazz,Xavi Maldonado Quartet,2 eventos,16,1,2024,1,15.0,https://www.entradas.com/artist/jamboree-jazz/xavi-maldonado-quartet-3525809/
jazz,Everybody needs some Christmas,1 Evento,23,12,2023,4,18.0,https://www.entradas.com/artist/everybody-needs-some-christmas/
jazz,RhythmâNâJamboree,10 eventos,3,12,2023,4,15.0,https://www.entradas.com/artist/rhythm-n-jamboree/
jazz,RhythmâNâJamboree,10 eventos,14,1,2024,1,15.0,https://www.entradas.com/artist/rhythm-n-jamboree/
jazz,Eva CatalÃ  Group,1 Evento,25,11,2023,4,3.25,https://www.entradas.com/artist/eva-catala-group/
jazz,Barcelona Big Blues Band feat Mitch Woods (USA),2 eventos,19,11,2023,4,20.0,https://www.entradas.com/artist/barcelona-big-blues-band/
jazz,Benjamin Herman,2 eventos,12,12,2023,4,14.0,https://www.entradas.com/artist/jamboree-jazz/benjamin-herman-3525808/
jazz,Blues & Roots,1 Evento,26,11,2023,4,9.0,https://www.entradas.com/artist/blues-roots/
jazz,Blues & Roots,1 Evento,26,11,2023,4,9.0,https://www.entradas.com/artist/blues-roots/
jazz,Emmet Cohen Trio,4 eventos,13,11,2023,4,30.0,https://www.entradas.com/artist/emmet-cohen/
jazz,Emmet Cohen Trio,4 eventos,14,11,2023,4,30.0,https://www.entradas.com/artist/emmet-cohen/
jazz,Irene Reig / The Bop Collective: DecisiÃ³ i Coratge,2 eventos,18,11,2023,4,18.0,https://www.entradas.com/artist/irene-reig/
jazz,Sweet Adu,1 Evento,17,11,2023,4,12.0,https://www.entradas.com/artist/sweet-adu/
jazz,Jon Urrutia Cuarteto + Jam session,1 Evento,1,12,2023,4,6.91,https://www.entradas.com/artist/jon-urrutia-trio/
jazz,Sant Andreu Reunion Band,2 eventos,30,12,2023,4,25.0,https://www.entradas.com/artist/jamboree-jazz/sant-andreu-reunion-band-3522033/
jazz,Grant Stewart & Jim Rotondi West Coast,2 eventos,25,11,2023,4,35.0,https://www.entradas.com/artist/jamboree-jazz/grant-stewart-jim-rotondi-west-coast-3503576/
jazz,Jaume Vilaseca The Yes Octet,2 eventos,23,12,2023,4,15.0,https://www.entradas.com/artist/jaume-vilaseca-the-yes-octet/
jazz,Gili-Romani Hot Jazz Cats,2 eventos,29,12,2023,4,28.0,https://www.entradas.com/artist/jamboree-jazz/gili-romani-hot-jazz-cats-3520171/
jazz,Smack Dab,2 eventos,8,12,2023,4,15.0,https://www.entradas.com/artist/jamboree-jazz/smack-dab-3519312/
jazz,Yoio Cuesta Quartet,1 Evento,14,12,2023,4,12.0,https://www.entradas.com/artist/yoio-cuesta-quartet/
latino,Francisco,4 eventos,12,1,2024,1,30.0,https://www.entradas.com/artist/francisco/
latino,Francisco,4 eventos,23,3,2024,1,30.0,https://www.entradas.com/artist/francisco/
latino,Vive La Salsa,1 Evento,19,1,2024,1,30.0,https://www.entradas.com/artist/vive-la-salsa/
latino,Homenaje a Pablo MilanÃ©s,1 Evento,24,3,2024,1,30.0,https://www.entradas.com/artist/homenaje-a-pablo-milanes/
latino,Rawayana - Â¿Quien trae las cornetas?,3 eventos,7,4,2024,2,35.0,https://www.entradas.com/artist/rawayana/
latino,Rawayana - Â¿Quien trae las cornetas?,3 eventos,10,4,2024,2,35.0,https://www.entradas.com/artist/rawayana/
latino,Mariah Angeliq,1 Evento,2,12,2023,4,27.29,https://www.entradas.com/artist/mariah-angeliq/
latino,Compota de Manana,1 Evento,3,12,2023,4,15.0,https://www.entradas.com/artist/compota-de-manana/
clasica,The World Of Hans Zimmer,2 eventos,24,4,2024,2,55.0,https://www.entradas.com/artist/hans-zimmer/
clasica,The World Of Hans Zimmer,2 eventos,29,4,2024,2,55.0,https://www.entradas.com/artist/hans-zimmer/
clasica,Ara Malikian,1 Evento,11,2,2024,1,55.0,https://www.entradas.com/artist/ara-malikian/ara-malikian-3487588/
clasica,Austin TV,1 Evento,31,1,2024,1,19.8,https://www.entradas.com/artist/inverfest/austin-tv-3491782/
clasica,Concierto SinfÃ³nico de Abono A13 (Jueves),1 Evento,22,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a13-jueves-3479302/
clasica,Concierto SinfÃ³nico de Abono B18 (Jueves),1 Evento,18,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b18-jueves-3479312/
clasica,Concierto SinfÃ³nico de Abono B16 (Viernes),1 Evento,22,3,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b16-viernes-3479309/
clasica,Concierto SinfÃ³nico de Abono B12 (Viernes),1 Evento,16,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b12-viernes-3479301/
clasica,Concierto SinfÃ³nico de Abono A7 (Viernes),1 Evento,24,11,2023,4,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a7-viernes-3479291/
clasica,Concierto SinfÃ³nico de Abono B16 (Jueves),1 Evento,21,3,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b16-jueves-3479308/
clasica,Concierto SinfÃ³nico de Abono B18 (Viernes),1 Evento,19,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b18-viernes-3479313/
clasica,Concierto SinfÃ³nico de Abono A15 (Jueves),1 Evento,14,3,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a15-jueves-3479306/
clasica,Concierto SinfÃ³nico de Abono A19 (Viernes),1 Evento,26,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a19-viernes-3479315/
clasica,Concierto SinfÃ³nico de Abono A15 (Viernes),1 Evento,15,3,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a15-viernes-3479307/
clasica,Concierto SinfÃ³nico de Abono A7 (Jueves),1 Evento,23,11,2023,4,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a7-jueves-3479290/
clasica,Concierto SinfÃ³nico de Abono B8 (Viernes),1 Evento,12,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b8-viernes-3479293/
clasica,Concierto SinfÃ³nico de Abono A11 (Viernes),1 Evento,9,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a11-viernes-3479299/
clasica,Concierto SinfÃ³nico de Abono A17 (Viernes),1 Evento,12,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a17-viernes-3479311/
clasica,Concierto SinfÃ³nico de Abono A13 (Viernes),1 Evento,23,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a13-viernes-3479303/
clasica,Concierto SinfÃ³nico de Abono A9 (Jueves),1 Evento,18,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a9-jueves-3479294/
clasica,Concierto SinfÃ³nico de Abono B14 (Jueves),1 Evento,29,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b14-jueves-3479304/
clasica,Concierto SinfÃ³nico de Abono A9 (Jueves),1 Evento,18,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a9-jueves-3479294/
clasica,Concierto SinfÃ³nico de Abono B8 (Jueves),1 Evento,11,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b8-jueves-3479292/
clasica,Concierto SinfÃ³nico de Abono B20 (Jueves),1 Evento,9,5,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b20-jueves-3479316/
clasica,JÃVENES MÃSICOS II,1 Evento,2,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-ii-3491492/
clasica,Concierto SinfÃ³nico de Abono A9 (Viernes),1 Evento,19,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a9-viernes-3479295/
clasica,Concierto SinfÃ³nico de Abono A11 (Jueves),1 Evento,8,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a11-jueves-3479298/
clasica,CONCIERTO DE GALARDONADOS EL CONCURSO JUVENTUDES MUSICALES,1 Evento,17,5,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-de-galardonados-el-concurso-juventudes-musicales-3491494/
clasica,Concierto SinfÃ³nico de Abono B12 (Jueves),1 Evento,15,2,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b12-jueves-3479300/
clasica,JÃVENES MÃSICOS III,1 Evento,5,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-iii-3491493/
clasica,Concierto SinfÃ³nico de Abono A19 (Jueves),1 Evento,25,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a19-jueves-3479314/
clasica,Concierto SinfÃ³nico de Abono B10 (Jueves),1 Evento,25,1,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b10-jueves-3479296/
clasica,Ensayos Ciclo SinfÃ³nico,14 eventos,23,11,2023,4,3.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/ensayos-ciclo-sinfonico-3491491/
clasica,Ensayos Ciclo SinfÃ³nico,14 eventos,9,5,2024,2,3.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/ensayos-ciclo-sinfonico-3491491/
clasica,Concierto SinfÃ³nico de Abono A17 (Jueves),1 Evento,11,4,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a17-jueves-3479310/
clasica,Concierto SinfÃ³nico de Abono B14 (Viernes),1 Evento,1,3,2024,1,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b14-viernes-3479305/
clasica,JÃVENES MÃSICOS I,1 Evento,17,11,2023,4,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-i-3491507/
clasica,Concierto SinfÃ³nico de Abono B20 (Viernes),1 Evento,10,5,2024,2,15.0,https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b20-viernes-3479317/
clasica,Andrea Bocelli,1 Evento,1,5,2024,2,45.0,https://www.entradas.com/artist/andrea-bocelli/
clasica,Tina Turner SinfÃ³nico,2 eventos,24,5,2024,2,30.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/tina-turner-sinfonico-3451288/
clasica,Tina Turner SinfÃ³nico,2 eventos,25,5,2024,2,30.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/tina-turner-sinfonico-3451288/
clasica,Elvis in my life,1 Evento,26,1,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/elvis-in-my-life-3440662/
clasica,âSkybridgesâ,1 Evento,8,3,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/skybridges-3440668/
clasica,Zree and more,1 Evento,15,3,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/zree-and-more-3440669/
clasica,Concierto Conmemorativo 50 Aniversario,1 Evento,1,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-conmemorativo-50-aniversario-3504147/
clasica,âDe aquÃ­â,1 Evento,2,2,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/de-aqui-3440663/
clasica,âDedication IIâ,1 Evento,16,2,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/dedication-ii-3440665/
clasica,"Walking Jazz ""AtriLogy""",1 Evento,22,3,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/walking-jazz-atrilogy-3440670/
clasica,Joni JimÃ©nez,1 Evento,31,5,2024,2,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/joni-jimenez-3440485/
clasica,Lara Bello flamenco,1 Evento,12,4,2024,2,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/lara-bello-flamenco-3440672/
clasica,Antonio Reyes (flamenco),1 Evento,1,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/antonio-reyes-flamenco-3440484/
clasica,Concierto de Navidad 2023,2 eventos,21,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-de-navidad-2023-3519972/
clasica,Concierto de Navidad 2023,2 eventos,22,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-de-navidad-2023-3519972/
